id,color
000,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
001,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
002,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
003,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
004,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
101,"{'L': 44.714355, 'A': 52.28125, 'B': -85.203125}"
206,"{'L': 57.025146, 'A': 47.578125, 'B': -61.578125}"
223,"{'L': 57.025146, 'A': 47.578125, 'B': -61.578125}"
225,"{'L': 57.025146, 'A': 47.578125, 'B': -61.578125}"
226,"{'L': 57.025146, 'A': 47.578125, 'B': -61.578125}"
000,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
001,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
002,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
003,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
004,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
005,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
101,"{'L': 44.714355, 'A': 52.28125, 'B': -85.203125}"
206,"{'L': 57.025146, 'A': 47.578125, 'B': -61.578125}"
223,"{'L': 57.025146, 'A': 47.578125, 'B': -61.578125}"
225,"{'L': 57.025146, 'A': 47.578125, 'B': -61.578125}"
226,"{'L': 57.025146, 'A': 47.578125, 'B': -61.578125}"
