id,color,area,center,has_child
000,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",24.0,"{'X': 1560, 'Y': 1966}",False
001,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",25.5,"{'X': 1449, 'Y': 1966}",False
002,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",16.0,"{'X': 1563, 'Y': 1951}",False
003,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",31.5,"{'X': 1553, 'Y': 1953}",False
004,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",17.0,"{'X': 1453, 'Y': 1951}",False
005,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",31.5,"{'X': 1443, 'Y': 1953}",False
101,"{'L': 44.714355, 'A': 52.28125, 'B': -85.203125}",223408.0,"{'X': 1495, 'Y': 1946}",True
206,"{'L': 57.025146, 'A': 47.578125, 'B': -61.578125}",27388.5,"{'X': 1504, 'Y': 1961}",True
223,"{'L': 57.025146, 'A': 47.578125, 'B': -61.578125}",220.5,"{'X': 1501, 'Y': 1973}",False
225,"{'L': 57.025146, 'A': 47.578125, 'B': -61.578125}",27.0,"{'X': 1558, 'Y': 1955}",False
226,"{'L': 57.025146, 'A': 47.578125, 'B': -61.578125}",27.0,"{'X': 1448, 'Y': 1955}",False
