id,color
000,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
001,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
002,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
003,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
004,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
101,"{'L': 44.714355, 'A': 52.28125, 'B': -85.203125}"
206,"{'L': 57.025146, 'A': 47.578125, 'B': -61.578125}"
223,"{'L': 57.025146, 'A': 47.578125, 'B': -61.578125}"
225,"{'L': 57.025146, 'A': 47.578125, 'B': -61.578125}"
226,"{'L': 57.025146, 'A': 47.578125, 'B': -61.578125}"
000,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
001,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
002,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
003,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
004,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
005,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
101,"{'L': 44.714355, 'A': 52.28125, 'B': -85.203125}"
206,"{'L': 57.025146, 'A': 47.578125, 'B': -61.578125}"
223,"{'L': 57.025146, 'A': 47.578125, 'B': -61.578125}"
225,"{'L': 57.025146, 'A': 47.578125, 'B': -61.578125}"
226,"{'L': 57.025146, 'A': 47.578125, 'B': -61.578125}"
000,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
001,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
002,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
003,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
004,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
005,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
006,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
007,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
008,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
009,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0010,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0011,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0012,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0013,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0014,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0015,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0016,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0017,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0018,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0019,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0020,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0021,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0022,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0023,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0024,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0025,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0026,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0027,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0028,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0029,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0030,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0031,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
0032,"{'L': 0.0, 'A': 0.0, 'B': 0.0}"
100,"{'L': 34.588623, 'A': 21.5625, 'B': -18.234375}"
101,"{'L': 34.588623, 'A': 21.5625, 'B': -18.234375}"
102,"{'L': 34.588623, 'A': 21.5625, 'B': -18.234375}"
103,"{'L': 34.588623, 'A': 21.5625, 'B': -18.234375}"
104,"{'L': 34.588623, 'A': 21.5625, 'B': -18.234375}"
1015,"{'L': 34.588623, 'A': 21.5625, 'B': -18.234375}"
1028,"{'L': 34.588623, 'A': 21.5625, 'B': -18.234375}"
200,"{'L': 63.067627, 'A': -0.015625, 'B': -4.140625}"
203,"{'L': 63.067627, 'A': -0.015625, 'B': -4.140625}"
301,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
302,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
303,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
304,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
305,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
306,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
307,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
308,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
309,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3010,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3011,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3012,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3013,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3014,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3015,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3016,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3017,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3018,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3019,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3020,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3021,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3022,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3023,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3024,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3025,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3026,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3027,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3028,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3029,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3030,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3031,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
3032,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}"
