id,color,area,center,has_child
000,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",19848.5,"{'X': 1344, 'Y': 2065}",False
001,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",26.0,"{'X': 1108, 'Y': 1963}",False
0010,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",25.0,"{'X': 1512, 'Y': 1868}",False
0011,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",20.0,"{'X': 1591, 'Y': 1864}",False
0012,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",36.0,"{'X': 1205, 'Y': 1848}",False
0013,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",94.0,"{'X': 1046, 'Y': 1849}",False
0014,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",16.5,"{'X': 1525, 'Y': 1837}",False
0015,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",38.0,"{'X': 1179, 'Y': 1828}",False
0016,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",14.5,"{'X': 1109, 'Y': 1825}",False
0017,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",4077.0,"{'X': 1361, 'Y': 1843}",False
0018,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",91.0,"{'X': 1097, 'Y': 1813}",False
0019,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",30.0,"{'X': 1306, 'Y': 1807}",False
002,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",45.5,"{'X': 1342, 'Y': 1953}",False
0020,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",1172.5,"{'X': 1382, 'Y': 1784}",True
0021,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",988.0,"{'X': 1327, 'Y': 1783}",True
0022,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",34.0,"{'X': 1282, 'Y': 1744}",False
0023,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",8.5,"{'X': 1287, 'Y': 1702}",False
0024,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",19.0,"{'X': 1428, 'Y': 1704}",False
0025,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",7.5,"{'X': 1313, 'Y': 1692}",False
0026,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",2570.0,"{'X': 1361, 'Y': 1616}",False
0027,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",5.0,"{'X': 1392, 'Y': 1578}",False
0028,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",230.5,"{'X': 1324, 'Y': 1566}",False
0029,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",20990.5,"{'X': 1585, 'Y': 1615}",False
003,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",20.0,"{'X': 1323, 'Y': 1986}",False
0030,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",441.5,"{'X': 1289, 'Y': 1476}",False
0031,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",776.5,"{'X': 1418, 'Y': 1486}",False
0032,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",20427.5,"{'X': 1118, 'Y': 1607}",False
004,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",217.5,"{'X': 1623, 'Y': 1948}",False
005,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",53.0,"{'X': 1357, 'Y': 1923}",False
006,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",11.5,"{'X': 1434, 'Y': 1922}",False
007,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",27.5,"{'X': 1263, 'Y': 1905}",False
008,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",20.5,"{'X': 1618, 'Y': 1894}",False
009,"{'L': 0.0, 'A': 0.0, 'B': 0.0}",26.0,"{'X': 1538, 'Y': 1872}",False
